,fight_img,fight_name,orgin_code,orgin_date,orgin_time,orgin_city,dest_code,dest_date,dest_time,dest_city,duration_of_flight,duration_stops,flight_price,discount_credit
0,https://images.ixigo.com/img/common-resources/airline-new/I5.png,AIRASIA INDIA,BLR,"Thu, 23 Dec",22:10,Bengaluru,DEL,"Fri, 24 Dec",01:00,New Delhi,2hr 50min,non-stop,4300,₹600 Instant Off
1,https://images.ixigo.com/img/common-resources/airline-new/6E.png,INDIGO,BLR,"Thu, 23 Dec",22:10,Bengaluru,DEL,"Fri, 24 Dec",01:05,New Delhi,2hr 55min,non-stop,5634,₹600 Instant Off
2,https://images.ixigo.com/img/common-resources/airline-new/6E.png,INDIGO,BLR,"Thu, 23 Dec",23:35,Bengaluru,DEL,"Fri, 24 Dec",02:30,New Delhi,2hr 55min,non-stop,5634,₹600 Instant Off
3,https://images.ixigo.com/img/common-resources/airline-new/6E.png,INDIGO,BLR,"Thu, 23 Dec",20:10,Bengaluru,DEL,"Thu, 23 Dec",23:10,New Delhi,3hr,non-stop,5634,₹600 Instant Off
4,https://images.ixigo.com/img/common-resources/airline-new/SG.png,SPICEJET,BLR,"Thu, 23 Dec",05:55,Bengaluru,DEL,"Thu, 23 Dec",08:40,New Delhi,2hr 45min,non-stop,6064,₹1000 Instant Off
5,https://images.ixigo.com/img/common-resources/airline-new/6E.png,INDIGO,BLR,"Thu, 23 Dec",06:40,Bengaluru,DEL,"Thu, 23 Dec",09:30,New Delhi,2hr 50min,non-stop,6449,₹600 Instant Off
6,https://images.ixigo.com/img/common-resources/airline-new/6E.png,INDIGO,BLR,"Thu, 23 Dec",16:30,Bengaluru,DEL,"Thu, 23 Dec",19:20,New Delhi,2hr 50min,non-stop,6449,₹600 Instant Off
7,https://images.ixigo.com/img/common-resources/airline-new/6E.png,INDIGO,BLR,"Thu, 23 Dec",04:40,Bengaluru,DEL,"Thu, 23 Dec",07:35,New Delhi,2hr 55min,non-stop,6449,₹600 Instant Off
8,https://images.ixigo.com/img/common-resources/airline-new/6E.png,INDIGO,BLR,"Thu, 23 Dec",17:50,Bengaluru,DEL,"Thu, 23 Dec",20:45,New Delhi,2hr 55min,non-stop,6449,₹600 Instant Off
9,https://images.ixigo.com/img/common-resources/airline-new/6E.png,INDIGO,BLR,"Thu, 23 Dec",19:15,Bengaluru,DEL,"Thu, 23 Dec",22:10,New Delhi,2hr 55min,non-stop,6449,₹600 Instant Off
10,https://images.ixigo.com/img/common-resources/airline-new/I5.png,AIRASIA INDIA,BLR,"Thu, 23 Dec",00:10,Bengaluru,DEL,"Thu, 23 Dec",02:55,New Delhi,2hr 45min,non-stop,6451,₹600 Instant Off
11,https://images.ixigo.com/img/common-resources/airline-new/SG.png,SPICEJET,BLR,"Thu, 23 Dec",19:05,Bengaluru,DEL,"Thu, 23 Dec",21:50,New Delhi,2hr 45min,non-stop,6486,₹600 Instant Off
12,https://images.ixigo.com/img/common-resources/airline-new/I5.png,AIRASIA INDIA,BLR,"Thu, 23 Dec",11:20,Bengaluru,DEL,"Thu, 23 Dec",14:05,New Delhi,2hr 45min,non-stop,6805,₹600 Instant Off
