title,content,opening,location,contanct_details,img
Aubree,"Aubree is all about inspiration, joy, passion, happiness. It has been since 2011 Aubree began creating the elixir called chocolates for the mortals.  Aubree`s   chocolates and cakes will rule and overwhelm your sensory perceptions. We go that extra mile to delight our customers with our range of products extending from cupcakes, cakes, chocolates,  savouries, macrons platters etc that are truly authentic, and tastes best.Aubree is not only sourcing the highest quality ingredients from Belgium, but also from around the world to create fusion of flavor and taste by blending indigenous recipes from around the world.
Aubree provides excellent and pro-active service, creative, unique design and customized service and paramount attention is given to detail, texture, consistency color, flavor,  aroma, and taste to deliver the most tempting and  distinctive chocolates and cakes.",Timings : Open 24 hours,"Location : Kerb Side, Outside Domestic Departure Gate #1","Contact Details
Mr. Shivaraj
+91-9663613876
bia@aubree.in",https://www.bengaluruairport.com/content/dam/bial/global/quad/Aubree.jpg
Barley & Grape Cafe,"For more than five years, Barley and Grapes Café has been providing Bangalore with a highly appreciated European style café ambience paired with great food and fabulous beverages. Now present in Phoenix Market City, Whitefield, Sahakar Nagar and Kempegowda International airport, Barley and Grapes Café is well known as a great place to hang out with friends and loved ones in an eco-friendly ambience that makes great use of upcycled wood and furniture to create a clean clutter free environment that’s easy on the eye, friendly and inviting.",Timings : Open 24 hours,"Location : The Quad by BLR, Opposite Arrivals","Contact Details
B&G Stores
+91-9606642323
barleyandgrapescafe@gmail.com",https://www.bengaluruairport.com/content/dam/bial/global/logo/retail-food/barley-grapes.png
Buffalo Wild Wings,"Buffalo Wild Wings is the ultimate place to get together with your friends, watch sports, drink beer and eat wings. You will find a collection of carefully curated dishes like Wings, Burgers, Nachos, Quesadilla, Wraps, Salads, Sizzlers etc with our bold and unique flavors . Buffalo wild wings is a Lively sports-bar chain dishing up wings & other American pub grub amid lots of large-screen TVs.",Timings : 11:00 - 23:00 hrs,"Location : The Quad by BLR, Opposite Arrival","Contact Details
Mr. Manis
+91-9969272525
manish@espicelounge.com",https://www.bengaluruairport.com/content/dam/bial/global/logo/retail-food/BWW-Logo.jpg
Café Coffee Day,"Café Coffee Day, a part of Coffee Day Global Limited, is India’s favourite hangout for coffee and conversation. Popularly known as CCD, we strive to provide the best experience to our guests. Our coffees are sourced from thousands of small coffee planters, who made us who we are today and we're glad to be a part of their lives. The pioneer of the coffee shop culture in India provides the perfect place to hang out and have a ton of fun over a coffee. Classic coffees such as Cappuccino and Americano are like gastronomic fuel for national as well as international travellers.
   ",Timings : Open 24 hours,"Location : The Quad by BLR, Opposite Arrivals","Contact Details
CCD Store
+91-7676220952",https://www.bengaluruairport.com/content/dam/bial/global/logo/retail-food/CCD.png
Café Coffee Day,"Café Coffee Day, a part of Coffee Day Global Limited, is India’s favourite hangout for coffee and conversation. Popularly known as CCD, we strive to provide the best experience to our guests. Our coffees are sourced from thousands of small coffee planters, who made us who we are today and we're glad to be a part of their lives. The pioneer of the coffee shop culture in India provides the perfect place to hang out and have a ton of fun over a coffee. Classic coffees such as Cappuccino and Americano are like gastronomic fuel for national as well as international travellers.",Timings : Open 24 hours,"Location : Arrival Hall, Level 0, Opposite Immigration Exit","Contact Details
CCD Store
+91-7676220951",https://www.bengaluruairport.com/content/dam/bial/global/logo/retail-food/CCD.png
Chai Point,"India’s largest tea retail chain brings you a perfectly brewed cup of chai made with fresh and natural ingredients. With over 10 variants of hot chai, iced-chai and shakes, their bite-sized chai snacks make for perfect accompaniments for Indian Tea. Chai Point sells over 300,000 cups of tea a day!",Timings : Open 24 hours,"Location : Kerb Side, Opposite Arrival Gate","Contact Details
Gaev Mehta
+91-9513759537
gaev.m@chaipoint.com",https://www.bengaluruairport.com/content/dam/bial/global/logo/retail-food/chai-point.png
GOPIZZA,"Don‘t Share, Have Your Own! 
Personal Sized Pizza from Korea 
Why should pizza be big and expensive? Why does it take so long? GOPIZZA was born to solve this problem. GOPIZZA serves personal sized pizza within 5-7 minutes",Timings : Open 24 hours,"Location : The QUAD by BLR, , Opposite Arrivals","Contact Details
Mr. Raj Kiran
+91-9513121208
hq@gopizza.in",https://www.bengaluruairport.com/content/dam/bial/global/logo/retail-food/Gopizza-logo.jpg
Harvest Market,"Inspired by the traditional and popular open air food markets, Harvest Market was created to offer airport travellers an authentic and local fresh food market experience. The gourmet menu at Harvest Market bursts with local flavour, using only the freshest ingredients to ensure superior product quality. Much of Harvest Market’s fresh fruit, vegetables, meats and seafood comes from regional suppliers that emulate the fresh food and merchandise display of local market vendors. ",Timings : Open 24 hours,"Location : Kerb Side, Opposite Departure Gate #4","Contact Details
Kathhiravan VR
+91-6366911201
+91-7406401233
kathhiravan.radhakrishnan@hmshost.net",https://www.bengaluruairport.com/content/dam/bial/global/logo/retail-food/harvest-market.png
Hatti Kaapi,"Let the smell of freshly ground coffee transport you to the courtyard of a typical South Indian household with Hatti Kaapi. Established in 2009, Hatti Kaapi is known for its traditional handcrafted South Indian filter kaapi made from freshly ground coffee powder. Step into bliss with a warm, earthy cup of flavor! ",Timings : Open 24 hours,"Location : Kerb Side, Opposite Arrival Gate","Contact Details
Hatti Kaapi
+91-9591999437
info@hattikaapi.in",https://www.bengaluruairport.com/content/dam/bial/global/logo/retail-food/hatti-kaapi.png
Häagen-Dazs,"For more than 50 years, our passion for crafting the perfect flavors and creamiest textures using only the finest ingredients is what has set the Häagen-Dazs brand apart. We’ve never wavered on the principles that made us who we are from the very beginning. Today, the Häagen-Dazs® brand continues to transform the finest ingredients into extraordinary experiences bite by bite.",Timings : Open 24 hours,"Location : Kerb Side, Opposite Departure Gate #8","Contact Details
Rohit Murty
+91-8553013504
rohit@akbgroup.in",https://www.bengaluruairport.com/content/dam/bial/global/logo/retail-food/haagen-dazs.jpg
