departure,time,flight,airline,info_url,status,is_departure
Mumbai (BOM),06:00,6E5303,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E5303,Landed - On-time [+],True
Indore (IDR),06:05,6E6393,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6393,Landed - On-time [+],True
Bagdogra (IXB),06:05,SG327,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-departure/SG327,Landed - On-time [+],True
Hubli (HBX),06:05,6E7227,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E7227,Landed - On-time [+],True
Delhi (DEL),06:10,I51528,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-departure/I51528,Landed - On-time [+],True
Delhi (DEL),06:10,AI804,Air India,https://www.bangaloreairport.com/kempegowda-flight-departure/AI804,Landed - On-time [+],True
Hyderabad (HYD),06:10,6E6257,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6257,Landed - On-time [+],True
Goa (GOI),06:15,6E194,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E194,Landed - Delayed [+],True
Kochi (COK),06:15,6E702,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E702,Landed - On-time [+],False
Hyderabad (HYD),06:15,G8509,Go First,https://www.bangaloreairport.com/kempegowda-flight-arrival/G8509,Unknown [+],False
Lucknow (LKO),06:20,6E6353,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6353,Landed - On-time [+],True
Vijayawada (VGA),06:20,6E7204,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E7204,Landed - Delayed [+],True
Chennai (MAA),06:25,6E987,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E987,Landed - On-time [+],False
Udaipur (UDR),06:25,SG468,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-departure/SG468,Landed - On-time [+],True
Bhubaneswar (BBI),06:25,I51564,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-departure/I51564,Landed - On-time [+],True
Ahmedabad (AMD),06:30,G8801,Go First,https://www.bangaloreairport.com/kempegowda-flight-departure/G8801,Landed - On-time [+],True
Kolkata (CCU),06:30,I52472,AirAsia India,https://www.bangaloreairport.com/kempegowda-flight-departure/I52472,Landed - On-time [+],True
Hyderabad (HYD),06:30,9I501,Alliance Air,https://www.bangaloreairport.com/kempegowda-flight-departure/9I501,En Route [+],True
Pune (PNQ),06:30,6E6877,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E6877,Landed - On-time [+],False
Madurai (IXM),06:35,6E7171,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E7171,Landed - On-time [+],True
Kolkata (CCU),06:35,6E6339,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6339,Landed - On-time [+],True
Mumbai (BOM),06:40,UK858,Vistara,https://www.bangaloreairport.com/kempegowda-flight-departure/UK858,Landed - On-time [+],True
Delhi (DEL),06:40,SG7613,SpiceJet,https://www.bangaloreairport.com/kempegowda-flight-arrival/SG7613,Landed - On-time [+],False
Mumbai (BOM),06:40,6E5236,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-arrival/6E5236,Landed - On-time [+],False
Rajahmundry (RJA),06:45,6E7107,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E7107,Landed - On-time [+],True
Jodhpur (JDH),06:50,6E6032,IndiGo,https://www.bangaloreairport.com/kempegowda-flight-departure/6E6032,Landed - On-time [+],True
